Name,Nation,NationStatus,Active,Club,Field 1 (from Club),Division,Position,Foot,Mentality,Primary,Secondary,Model,Level,ClubStatus,Transfer Status
Ben Fox,England,,checked,Northampton Town,England,League One,,,,,,,,,
Jon Guthrie,England,,checked,Northampton Town,England,League One,,,,,,,,,
Manny Monthé,Cameroon,,checked,Northampton Town,England,League One,,,,,,,,,
Harvey Lintott,England,,checked,Northampton Town,England,League One,,,,,,,,,
James Dadge,England,,checked,Northampton Town,England,League One,GK,,,,,,,,
Ali Koiki,England,,checked,Northampton Town,England,League One,,,,,,,,,
Josh Tomlinson,England,,checked,Northampton Town,England,League One,,,,,,,,,
Ruben Wyatt,England,,checked,Northampton Town,England,League One,,,,,,,,,
Max Dyche,England,,checked,Northampton Town,England,League One,,,,,,,,,
Jordan Willis,England,,checked,Northampton Town,England,League One,,,,,,,,,
Jack Sowerby,England,,checked,Northampton Town,England,League One,,,,,,,,,
Akin Odimayo,England,,checked,Northampton Town,England,League One,,,,,,,,,
Patrick Brough,England,,checked,Northampton Town,England,League One,,,,,,,,,
Will Hondermarck,,,checked,Northampton Town,England,League One,,,,,,,,,
Sam Sherring,England,,checked,Northampton Town,England,League One,,,,,,,,,
Aaron McGowan,England,,checked,Northampton Town,England,League One,,,,,,,,,
Mitch Pinnock,England,,checked,Northampton Town,England,League One,,,,,,,,,
Sam Hoskins,England,,checked,Northampton Town,England,League One,,,,,,,,,
Lee Burge,England,,checked,Northampton Town,England,League One,GK,,,,,,,,
Tyler Magloire,England,,checked,Northampton Town,England,League One,,,,,,,,,
Danny Batth,England,,checked,Norwich City,England,Championship,CD,Right,Cautious,Powerhouse,Stopper,Enforcer,82,,
Liam Gibbs,England,,checked,Norwich City,England,Championship,CM,Right,Balanced,Controller,Engine,Conductor,83,Wonderkid,
Josh Sargent,United States,,checked,Norwich City,England,Championship,CF,Right,Balanced,Engine,Striker,Menace,85,,
Christian Fassnacht,Switzerland,,checked,Norwich City,England,Championship,WM,Right,Balanced,Engine,Creator,Raumdeuter,84,,
Kenny McLean,Scotland,,checked,Norwich City,England,Championship,CM,Left,Balanced,Controller,Commander,Mastermind,85,,
Gabriel Sara,Brazil,,checked,Norwich City,England,Championship,CM,Left,Balanced,Creator,Engine,Catalyst,85,,
Sydney van Hooijdonk,Netherlands,,checked,Norwich City,England,Championship,CF,Right,Attacking,Striker,Aerial,Finisher,83,,
Ashley Barnes,Austria,,checked,Norwich City,England,Championship,CF,Right,Balanced,Engine,Striker,Menace,83,,
Dimitris Giannoulis,Greece,,checked,Norwich City,England,Championship,WD ,Left,Balanced,Sprinter,Engine,Raider,83,,
Jonathan Rowe,England,,checked,Norwich City,England,Championship,WF,Right,Attacking,Dribbler,Sprinter,Winger,83,,
Ben Gibson,England,,checked,Norwich City,England,Championship,CD,Left,Balanced,Stopper,Commander,Leader,85,,
Borja Sainz,Spain,,checked,Norwich City,England,Championship,WM,Right,Attacking,Creator,Dribbler,Magician,84,,
Jacob Sorensen,Denmark,,checked,Norwich City,England,Championship,CM,Right,Balanced,Powerhouse,Engine,Tank,83,,
Kellen Fisher,England,,checked,Norwich City,England,Championship,WD ,Right,Balanced,Sprinter,Engine,Raider,80,,
Sam McCallum,England,,checked,Norwich City,England,Championship,WD ,Left,Balanced,Engine,Cover,Dynamo,83,,
Grant Hanley,Scotland,,checked,Norwich City,England,Championship,CD,Right,Cautious,Commander,Stopper,Skipper,85,,
Marcelino Nunez,Chile,,checked,Norwich City,England,Championship,CM,Right,Attacking,Creator,Passer,Maestro,84,,
George Long,England,,checked,Norwich City,England,Championship,GK,Left,Balanced,Acrobat,Orthodox,Shotstopper,83,,
Jack Stacey,England,,checked,Norwich City,England,Championship,WD ,Right,Balanced,Engine,Sprinter,Shuttler,83,,
Onel Hernandez,Cuba,,checked,Norwich City,England,Championship,WM,Right,Balanced,Engine,Dribbler,Tornate,80,,
Daniel Barden,Wales,,checked,Norwich City,England,Championship,GK,Right,Cautious,Aerial,Orthodox,Barrier,81,,
Angus Gunn,Scotland,,checked,Norwich City,England,Championship,GK,Right,Balanced,Acrobat,Aerial,Guardian,85,,
Chris Wood,New Zealand,,checked,Nottingham Forest,England,Premier League,CF,Right,Balanced,Aerial,Striker,Target,87,,
Willy Boly,,,checked,Nottingham Forest,England,Premier League,CD,Right,Cautious,Stopper,Aerial,Centre Back,86,,
Anthony Elanga,Sweden,,checked,Nottingham Forest,England,Premier League,WF,Right,Balanced,Sprinter,Striker,Assassin,88,,
Murillo,Brazil,,checked,Nottingham Forest,England,Premier League,CD,Left,Attacking,Stopper,Powerhouse,Gladiator,88,,
Taiwo Awoniyi,Nigeria,,checked,Nottingham Forest,England,Premier League,CF,Right,Balanced,Powerhouse,Striker,Rifle,87,,
Morgan Gibbs-White,England,,checked,Nottingham Forest,England,Premier League,CM,Right,Attacking,Creator,Striker,Fantasista,88,,
Callum Hudson-Odoi,England,,checked,Nottingham Forest,England,Premier League,WF,Right,Attacking,Dribbler,Creator,Wizard,88,,
Moussa Niakhate,Senegal,,checked,Nottingham Forest,England,Premier League,CD,Left,Balanced,Stopper,Commander,Leader,87,,
Ibrahim Sangare,,,checked,Nottingham Forest,England,Premier League,CM,Right,Cautious,Aerial,Powerhouse,Bulldozer,87,,
Gio Reyna,United States,,checked,Nottingham Forest,England,Premier League,CM,Right,Attacking,Creator,Dribbler,Magician,86,,
 Cheikhou Kouyaté,Senegal,,checked,Nottingham Forest,England,Premier League,CM,Right,Cautious,Engine,Powerhouse,Bison,86,,
Nuno Tavares,Portugal,,checked,Nottingham Forest,England,Premier League,WD ,Left,Attacking,Sprinter,Engine,Raider,86,,
Matt Turner,United States,,checked,Nottingham Forest,England,Premier League,GK,Right,Cautious,Acrobat,Orthodox,Shotstopper,85,,
Andrew Omobamidele,Ireland,,checked,Nottingham Forest,England,Premier League,CD,Right,Cautious,Stopper,Sprinter,Shadow,85,,
Ryan Yates,England,,checked,Nottingham Forest,England,Premier League,CM,Right,Balanced,Engine,Commander,Driver,85,,
Ateef Konate,France,,checked,Nottingham Forest,England,Premier League,CM,Right,Attacking,Creator,Dribbler,Magician,82,,
Matz Sels,Belgium,Squad,checked,Nottingham Forest,England,Premier League,GK,Right,Cautious,Acrobat,Sweeper,Hawk,86,Starter,
Harry Toffolo,England,,checked,Nottingham Forest,England,Premier League,WD ,Left,Balanced,Engine,Sprinter,Shuttler,85,,
Rodrigo Ribeiro,Portugal,,checked,Nottingham Forest,England,Premier League,CF,Right,Balanced,Creator,Dribbler,Magician,82,,
Divock Origi,Belgium,,checked,Nottingham Forest,England,Premier League,CF,Right,Attacking,Striker,Dribbler,Craque,87,,
Neco Williams,Wales,,checked,Nottingham Forest,England,Premier League,WD ,Right,Balanced,Engine,Sprinter,Shuttler,85,,
Odysseas Vlachodimos,Greece,,checked,Nottingham Forest,England,Premier League,GK,Right,Balanced,Acrobat,Orthodox,Shotstopper,85,,
Ola Aina,Nigeria,,checked,Nottingham Forest,England,Premier League,WD ,Right,Attacking,Sprinter,Engine,Raider,86,,
Felipe,Brazil,,checked,Nottingham Forest,England,Premier League,CD,Right,Cautious,Stopper,Commander,Leader,87,,
Gonzalo Montiel,Argentina,,checked,Nottingham Forest,England,Premier League,WD ,Right,Attacking,Engine,Sprinter,Shuttler,86,,
Harry Arter,Ireland,,checked,Nottingham Forest,England,Premier League,CM,Left,Balanced,Controller,Passer,Regista,84,,
Lewis O'Brien,England,,checked,Nottingham Forest,England,Premier League,CM,Right,Balanced,Engine,Controller,Box-To-Box,84,,
Hwang Ui-jo,South Korea,Squad,checked,Nottingham Forest,England,,CF,Right,Attacking,Engine,Striker,,85,Unregistered,Wantaway
Scott McKenna,Scotland,,checked,Nottingham Forest,England,Premier League,CD,Left,Balanced,Powerhouse,Stopper,Enforcer,85,,
Zac Denman,England,,checked,Notts County,England,League Two,,,,,,,,,
Macaulay Langstaff,England,,checked,Notts County,England,League Two,CF,Right,Attacking,Striker,Engine,Poacher,85,,
Alfie Goodwin,England,,checked,Notts County,England,League Two,,,,,,,,,
Charlie Gill,England,,checked,Notts County,England,League Two,,,,,,,,,
Owen Bickley,England,,checked,Notts County,England,League Two,,,,,,,,,
Aaron Nemane,France,,checked,Notts County,England,League Two,,,,,,,,,
Archie Aves,England,,checked,Notts County,England,League Two,,,,,,,,,
Elias Reaney,England,,checked,Notts County,England,League Two,,,,,,,,,
Junior Morias,Jamaica,,checked,Notts County,England,League Two,,,,,,,,,
Harrison Hazard,England,,checked,Notts County,England,League Two,,,,,,,,,
Matt Palmer,England,,checked,Notts County,England,League Two,,,,,,,,,
Jodi Jones,Malta,,checked,Notts County,England,League Two,,,,,,,,,
Alassana Jatta,Gambia,,checked,Notts County,England,League Two,,,,,,,,,
Scott Robertson,Scotland,,checked,Notts County,England,League Two,,,,,,,,,
Ashaiah Fearon,England,,checked,Notts County,England,League Two,,,,,,,,,
Madou Cisse,England,,checked,Notts County,England,League Two,,,,,,,,,
Sam Austin,England,,checked,Notts County,England,League Two,,,,,,,,,
Cedwyn Scott,England,,checked,Notts County,England,League Two,,,,,,,,,
Kyle Cameron,Scotland,,checked,Notts County,England,League Two,,,,,,,,,
Adam Chicksen,Zimbabwe,,checked,Notts County,England,League Two,,Left,,,,,,,
James Sanderson,England,,checked,Notts County,England,League Two,,,,,,,,,
Brad McGregor,England,,checked,Notts County,England,League Two,,,,,,,,,
David McGoldrick,Ireland,,checked,Notts County,England,League Two,,Right,,,,,,,
Connell Rawlinson,Wales,,checked,Notts County,England,League Two,,,,,,,,,
Cassius Cisse,England,,checked,Notts County,England,League Two,,,,,,,,,
Freddie Pitts,England,,checked,Notts County,England,League Two,,,,,,,,,
Sam Slocombe,England,,checked,Notts County,England,League Two,GK,Right,,,,,,,
Lewis Macari,Scotland,,checked,Notts County,England,League Two,,,,,,,,,
Sudais Saleh,England,,checked,Notts County,England,League Two,,,,,,,,,
Zhani Burgess,Bermuda,,checked,Notts County,England,League Two,,,,,,,,,
Aidan Stone,England,,checked,Notts County,England,League Two,GK,,,,,,,,
Dan Crowley,Ireland,,checked,Notts County,England,League Two,,,,,,,,,
Geraldo Bajrami,Albania,,checked,Notts County,England,League Two,,,,,,,,,
Will Randall,England,,checked,Notts County,England,League Two,,,,,,,,,
Diego Edwards,,,checked,Notts County,England,League Two,,,,,,,,,
Jay Matete,,,checked,Oxford United,England,League One,CM,Right,Cautious,Engine,Stopper,Destroyer,82,,
James Dornelly,England,,checked,Peterborough United,England,League One,,,,,,,,,
Ephron Mason-Clark,England,,checked,Peterborough United,England,League One,WM,Right,Balanced,Sprinter,Dribbler,Spark,85,,
Ricky-Jade Jones,England,,checked,Peterborough United,England,League One,,,,,,,,,
Fynn Talley,England,,checked,Peterborough United,England,League One,GK,,,,,,,,
Charlie O'Connell,England,,checked,Peterborough United,England,League One,,,,,,,,,
Kwame Poku,Ghana,,checked,Peterborough United,England,League One,,,,,,,,,
Jed Steer,England,,checked,Peterborough United,England,League One,GK,Left,,,,,,,
Abraham Odoh,England,,checked,Peterborough United,England,League One,,,,,,,,,
Kabongo Tshimanga,England,,checked,Peterborough United,England,League One,,,,,,,,,
Kai Corbett,Spain,,checked,Peterborough United,England,League One,,,,,,,,,
Will Blackmore,England,,checked,Peterborough United,England,League One,GK,,,,,,,,
Donay O'Brien-Brady,England,,checked,Peterborough United,England,League One,,,,,,,,,
Vontae Daley-Campbell,England,,checked,Peterborough United,England,League One,,,,,,,,,
Ryan de Havilland,England,,checked,Peterborough United,England,League One,,,,,,,,,
Joel Randall,England,,checked,Peterborough United,England,League One,,,,,,,,,
David Ajiboye,England,,checked,Peterborough United,England,League One,,,,,,,,,
Harley Mills,England,,checked,Peterborough United,England,League One,,,,,,,,,
Josh Knight,England,,checked,Peterborough United,England,League One,,,,,,,,,
Ronnie Edwards,England,,checked,Peterborough United,England,League One,,,,,,,,,
Aaron Powell,England,,checked,Peterborough United,England,League One,,,,,,,,,
Harrison Burrows,England,,checked,Peterborough United,England,League One,WD ,Left,Attacking,Engine,Passer,Orchestrator,85,,
Romoney Crichlow,England,,checked,Peterborough United,England,League One,,,,,,,,,
Hector Kyprianou,Cyprus,,checked,Peterborough United,England,League One,,,,,,,,,
Jeando Fuchs,Cameroon,,checked,Peterborough United,England,League One,,,,,,,,,
Archie Collins,England,,checked,Peterborough United,England,League One,,,,,,,,,
Malik Mothersille,England,,checked,Peterborough United,England,League One,,,,,,,,,
Nicholas Bilokapic,Australia,,checked,Peterborough United,England,League One,GK,,,,,,,,
Pemi Aderoju,England,,checked,Peterborough United,England,League One,,,,,,,,,
Jadel Katongo,England,,checked,Peterborough United,England,League One,,,,,,,,,
Emmanuel Fernandez,England,,checked,Peterborough United,England,League One,,,,,,,,,
Jacob Wakeling,England,,checked,Peterborough United,England,League One,,,,,,,,,
Ben Waine,New Zealand,,checked,Plymouth Argyle,England,Championship,CF,Right,Balanced,Engine,Striker,Menace,81,,
Jordan Houghton,England,,checked,Plymouth Argyle,England,Championship,CM,Right,Balanced,Engine,Controller,Box-To-Box,81,,
Conor Hazard,England,,checked,Plymouth Argyle,England,Championship,GK,Left,Cautious,Aerial,Orthodox,Barrier,78,,
Mustapha Bundu,Sierra Leone,,checked,Plymouth Argyle,England,Championship,CF,Right,Attacking,Sprinter,Creator,Livewire,80,,
Bali Mumba,England,,checked,Plymouth Argyle,England,Championship,WM,Right,Balanced,Sprinter,Engine,Raider,83,,
Julio Pleguezuelo,Spain,,checked,Plymouth Argyle,England,Championship,CD,Right,Balanced,Stopper,Engine,Disruptor,82,,
Morgan Whittaker,England,,checked,Plymouth Argyle,England,Championship,WF,Left,Attacking,Dribbler,Striker,Attacker,83,,
Alfie Devine,England,,checked,Plymouth Argyle,England,Championship,CM,Right,Attacking,Engine,Creator,Raumdeuter,82,,
Adam Randell,England,,checked,Plymouth Argyle,England,Championship,CM,Right,Balanced,Engine,Commander,Driver,82,,
Luke Cundle,England,,checked,Plymouth Argyle,England,Championship,CM,Right,Attacking,Creator,Passer,Maestro,82,,
Callum Burton,England,,checked,Plymouth Argyle,England,Championship,GK,Right,Cautious,Acrobat,Orthodox,Shotstopper,80,,
Finn Azaz,Ireland,,checked,Plymouth Argyle,England,Championship,CM,Right,Attacking,Creator,Dribbler,Magician,81,,
Ashley Phillips,England,,checked,Plymouth Argyle,England,Championship,CD,Right,Balanced,Aerial,Sprinter,Machine,83,,
Ryan Hardie,Scotland,,checked,Plymouth Argyle,England,Championship,CF,Right,Attacking,Engine,Striker,Menace,81,,
Joe Edwards,England,,checked,Plymouth Argyle,England,Championship,WM,Right,Balanced,Engine,Stopper,Destroyer,82,,
Dan Scarr,England,,checked,Plymouth Argyle,England,Championship,CD,Right,Cautious,Aerial,Powerhouse,Bulldozer,81,,
Callum Wright,England,,checked,Plymouth Argyle,England,Championship,CM,Right,Balanced,Engine,Creator,Raumdeuter,83,,
Matthew Sorinola,England,,checked,Plymouth Argyle,England,Championship,WM,Right,Balanced,Engine,Dribbler,Tornate,80,,
Adam Forshaw,England,,checked,Plymouth Argyle,England,Championship,CM,Right,Balanced,Engine,Commander,Driver,83,,
Mickel Miller,England,,checked,Plymouth Argyle,England,Championship,WM,Left,Attacking,Sprinter,Creator,Livewire,79,,
Brendan Galloway,Zimbabwe,,checked,Plymouth Argyle,England,Championship,CD,Left,Cautious,Stopper,Cover,Shield,83,,
Lewis Gibson,England,,checked,Plymouth Argyle,England,Championship,CD,Left,Balanced,Stopper,Cover,Shield,83,,
Michael Cooper,England,,checked,Plymouth Argyle,England,Championship,GK,Right,Balanced,Commander,Orthodox,Protector,81,,
Tyreik Wright,Ireland,,checked,Plymouth Argyle,England,Championship,WM,Left,Attacking,Sprinter,Dribbler,Spark,85,,
Lino Sousa,England,,checked,Plymouth Argyle,England,Championship,WD ,Left,Balanced,Sprinter,Engine,Raider,80,,
Andrew Buah,England,,checked,Port Vale,England,League Two,,,,,,,,,
Ben Lomax,England,,checked,Port Vale,England,League Two,,,,,,,,,
Mitch Clark,Wales,,checked,Port Vale,England,League Two,,,,,,,,,
Jack Shorrock,England,,checked,Port Vale,England,League Two,,,,,,,,,
Lewis Cass,England,,checked,Port Vale,England,League Two,,,,,,,,,
Funso Ojo,Belgium,,checked,Port Vale,England,League Two,,Right,,,,,,,
Rhys Walters,England,,checked,Port Vale,England,League Two,,,,,,,,,
Baylee Dipepa,England,,checked,Port Vale,England,League Two,,,,,,,,,
Jason Lowe,England,,checked,Port Vale,England,League Two,,Right,,,,,,,
Jesse Debrah,England,,checked,Port Vale,England,League Two,,,,,,,,,
James Plant,England,,checked,Port Vale,England,League Two,,,,,,,,,
Conor Grant,England,,checked,Port Vale,England,League Two,,,,,,,,,
Nathan Smith,England,,checked,Port Vale,England,League Two,,Left,,,,,,,
Karl Agnero,England,,checked,Port Vale,England,League Two,,,,,,,,,
Deklan Wynne,New Zealand,,checked,Port Vale,England,League Two,,,,,,,,,
Liam Brazier,England,,checked,Port Vale,England,League Two,,,,,,,,,
Dan Jones,England,,checked,Port Vale,England,League Two,,,,,,,,,
James Wilson,England,,checked,Port Vale,England,League Two,,,,,,,,,
Jayson Leutwiler,Canada,,checked,Port Vale,England,League Two,GK,,,,,,,,
Alex Iacovitti,Scotland,,checked,Port Vale,England,League Two,,,,,,,,,
Tom Sang,England,,checked,Port Vale,England,League Two,,,,,,,,,
Daniel Mahaffy,England,,checked,Port Vale,England,League Two,,,,,,,,,
Ethan Chislett,South Africa,,checked,Port Vale,England,League Two,,,,,,,,,
Ryan Loft,England,,checked,Port Vale,England,League Two,,,,,,,,,
Gavin Massey,England,,checked,Port Vale,England,League Two,,,,,,,,,
Ben Garrity,England,,checked,Port Vale,England,League Two,,,,,,,,,
Connor Ripley,England,,checked,Port Vale,England,League Two,GK,Right,,,,,,,
Logan Cousins,England,,checked,Port Vale,England,League Two,,,,,,,,,
Uche Ikpeazu,Uganda,,checked,Port Vale,England,League Two,CF,Right,Attacking,Powerhouse,Aerial,Dominator,,,
Josh Dockerill,England,,checked,Portsmouth,England,,,,,,,,,,
Paddy Lane,,,checked,Portsmouth,England,,,,,,,,,,
Lee Evans,Wales,,checked,Portsmouth,England,,,,,,,,,,
Matt Macey,England,,checked,Portsmouth,England,,GK,,,,,,,,
Tom McIntyre,Scotland,,checked,Portsmouth,England,,,,,,,,,,
Ryan Schofield,England,,checked,Portsmouth,England,,GK,,,,,,,,
Zak Swanson,England,,checked,Portsmouth,England,,,,,,,,,,
